query,judul,relevan
indonesia,Piala AFF U-17 2026: Indonesia Dikalahkan Malaysia 0-1,1
indonesia,Selamat! Indonesia Juara Piala AFF Futsal U-16 2025,1
indonesia,Final Piala AFF Futsal U-16: RI Juara Usai Bungkam Thailand 4-3,1
indonesia,AS Ketar-ketir Dihantui 'Super Flu', Sudah Masuk RI? Ini Catatan IDAI,1
indonesia,Indonesia Diprediksi Jadi Kekuatan Ekonomi Baru Asia,1
indonesia,Pemerintah Indonesia Bahas Investasi Baru,1
indonesia,Harga Minyak Dunia Menguat Hari Ini,0
indonesia,Konser Musik Internasional Digelar di Jakarta,0
indonesia,Film Hollywood Pecahkan Rekor Box Office,0
indonesia,Hasil NBA Tadi Malam,0

flu,AS Ketar-ketir Dihantui 'Super Flu', Sudah Masuk RI? Ini Catatan IDAI,1
flu,Waspada Penyebaran Flu Musiman di Asia,1
flu,Kementerian Kesehatan Imbau Masyarakat Waspada Flu,1
flu,Timnas Indonesia Juara AFF U-16,0
flu,Harga Cabai di Pasar Tradisional Naik,0
flu,Final Piala AFF Futsal U-16: RI Juara Usai Bungkam Thailand 4-3,0
flu,Konser Musik Internasional Digelar di Jakarta,0

futsal,Selamat! Indonesia Juara Piala AFF Futsal U-16 2025,1
futsal,Final Piala AFF Futsal U-16: RI Juara Usai Bungkam Thailand 4-3,1
futsal,Turnamen Futsal Nasional Digelar di Jakarta,1
futsal,Tim Futsal Indonesia Lolos ke Final Asia,1
futsal,Piala AFF U-17 2026: Indonesia Dikalahkan Malaysia 0-1,0
futsal,Presiden Resmikan Jalan Tol Baru,0
futsal,Harga BBM Resmi Naik Mulai Pekan Depan,0
futsal,Konser Musik KPop Digelar di Jakarta,0

malaysia,Piala AFF U-17 2026: Indonesia Dikalahkan Malaysia 0-1,1
malaysia,Malaysia Siapkan Strategi Baru di AFF U-17,1
malaysia,Hubungan Indonesia dan Malaysia Semakin Erat,1
malaysia,Final Piala AFF Futsal U-16: RI Juara Usai Bungkam Thailand 4-3,0
malaysia,Harga BBM Resmi Naik Mulai Pekan Depan,0
malaysia,Konser Musik Internasional Digelar di Jakarta,0
malaysia,Hasil Liga Inggris Pekan Ini,0

thailand,Final Piala AFF Futsal U-16: RI Juara Usai Bungkam Thailand 4-3,1
thailand,Thailand Jadi Tuan Rumah Turnamen Asia 2026,1
thailand,Timnas Thailand Siap Hadapi Indonesia,1
thailand,Selamat! Indonesia Juara Piala AFF Futsal U-16 2025,0
thailand,Harga Emas Hari Ini Menguat,0
thailand,Film Baru Hollywood Pecahkan Rekor,0
thailand,Konser Musik Internasional Digelar di Jakarta,0

minyak,Harga Minyak Dunia Menguat Hari Ini,1
minyak,Harga BBM Resmi Naik Mulai Pekan Depan,1
minyak,Produksi Minyak Dunia Mengalami Penurunan,1
minyak,Harga Minyak Diprediksi Terus Naik Tahun Ini,1
minyak,Konser Musik Internasional Digelar di Jakarta,0
minyak,Timnas Indonesia Juara AFF U-16,0
minyak,Hasil Liga Inggris Pekan Ini,0
minyak,Film Baru Hollywood Pecahkan Rekor,0

presiden,Presiden Resmikan Jalan Tol Baru,1
presiden,Presiden Bahas Ketahanan Pangan Nasional,1
presiden,Pidato Presiden di Istana Negara Jadi Sorotan,1
presiden,Presiden Tinjau Korban Banjir di Jawa Barat,1
presiden,Presiden Umumkan Kebijakan Ekonomi Baru,1
presiden,Hasil Liga Champions Tadi Malam,0
presiden,Harga Minyak Dunia Menguat Hari Ini,0
presiden,Konser Musik KPop Digelar di Jakarta,0
presiden,Film Hollywood Pecahkan Rekor Box Office,0

ekonomi,Nilai Tukar Rupiah Menguat Hari Ini,1
ekonomi,Inflasi Indonesia Menurun di Tahun 2026,1
ekonomi,Pertumbuhan Ekonomi Indonesia Diprediksi Naik,1
ekonomi,Ekonomi Digital Indonesia Tumbuh Pesat,1
ekonomi,BI Naikkan Suku Bunga Acuan,1
ekonomi,Hasil Liga Inggris Pekan Ini,0
ekonomi,Cuaca Ekstrem Melanda Beberapa Wilayah,0
ekonomi,Konser Musik Internasional Digelar di Jakarta,0
ekonomi,Hasil Pertandingan NBA Tadi Malam,0

politik,Partai Politik Siapkan Strategi Pemilu,1
politik,DPR Bahas RUU Baru Tahun Ini,1
politik,Debat Capres Digelar Pekan Depan,1
politik,Politik Dalam Negeri Memanas Jelang Pemilu,1
politik,Partai Politik Mulai Kampanye Nasional,1
politik,Pemerintah dan DPR Bahas Anggaran Negara,1
politik,Harga Cabai di Pasar Tradisional Naik,0
politik,Konser Musik Internasional Digelar di Jakarta,0
politik,Hasil Liga Inggris Pekan Ini,0
politik,Film Baru Indonesia Tembus Box Office,0

harga,Harga Cabai Naik di Pasar Tradisional,1
harga,Harga Emas Hari Ini Mengalami Kenaikan,1
harga,Harga BBM Resmi Naik Mulai Pekan Depan,1
harga,Harga Minyak Dunia Menguat Akibat Konflik Global,1
harga,Harga Tiket Pesawat Saat Libur Melonjak,1
harga,Harga Beras Mengalami Penurunan di Beberapa Daerah,1
harga,Hasil Liga Inggris Pekan Ini,0
harga,Konser Musik Internasional Digelar di Jakarta,0
harga,Film Baru Hollywood Pecahkan Rekor,0
harga,Cuaca Ekstrem Diprediksi Terjadi Pekan Ini,0
```
